Year,ID,Name,Import,Export,ImpIDA,ImpIDB,ImpIDC,ImpIDD,ImpIDE,ImpIDF,ImpIDG,ImpIDH,ImpIDI,ImpIDJ,ImportA,ImportB,ImportC,ImportD,ImportE,ImportF,ImportG,ImportH,ImportI,ImportJ,ExpIDA,ExpIDB,ExpIDC,ExpIDD,ExpIDE,ExpIDF,ExpIDG,ExpIDH,ExpIDI,ExpIDJ,ExportA,ExportB,ExportC,ExportD,ExportE,ExportF,ExportG,ExportH,ExportI,ExportJ
2017,238,Falkland Isds (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,242,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,246,Finland,791548.759,50077.716,752,643,233,579,,,,,,,574862.413,168973.776,37654.221,10058.349,,,,,,,233,752,579,643,372,,,,,,45863.23,2757.627,1365.391,90.076,1.392,,,,,
2017,250,France,1251934.643,3615503.092,757,056,724,826,276,380,,,,,354080.811,299881.025,281141.062,163943.034,134116.908,18771.803,,,,,380,724,757,826,276,056,020,,,,1048000.235,811553.981,709040.676,551526.593,319132.657,160534.32,15714.63,,,
2017,258,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,260,Fr. South Antarctic Terr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,262,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,266,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,268,Georgia,66800.54,22397.255,031,643,051,,,,,,,,47115.279,13277.128,6408.133,,,,,,,,792,051,643,031,,,,,,,11587.34,5623.978,5082.598,103.339,,,,,,
2017,270,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,275,State of Palestine,5606.362,,400,,,,,,,,,,5606.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,276,Germany,1397023.295,4078904.343,251,203,208,040,757,752,380,528,705,100,319132.657,291062.052,245457.609,149742.861,114784.157,93892.722,85092.046,53376.753,41578.553,1617.637,380,040,757,528,616,203,442,251,208,705,946912.053,663334.515,657011.94,607711.288,364903.395,351286.522,177736.037,134116.908,105417.534,53583.113
2017,278,Dem. Rep. of Germany (...1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,280,Fed. Rep. of Germany (...1990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,288,Ghana,,5631.255,,,,,,,,,,,,,,,,,,,,,854,,,,,,,,,,5631.255,,,,,,,,,
2017,292,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,296,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,300,Greece,361427.745,106909.589,705,100,807,380,792,348,008,703,203,688,123321.863,77774.963,45866.181,39915.009,17636.648,16723.251,15414.283,8478.037,7171.706,3458.697,705,008,380,807,100,792,688,203,703,208,44452.794,16352.836,16336.386,14993.974,5903.313,5647.18,1523.571,774.161,769.148,156.226
2017,304,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,308,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,316,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,320,Guatemala,94190.379,103112.138,484,222,591,,,,,,,,93852.361,334.61,3.408,,,,,,,,222,340,591,484,558,188,,,,,82605.611,14565.405,3416.359,1280.643,1231.045,13.075,,,,
2017,324,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,328,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,332,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,340,Honduras,15684.359,,320,222,,,,,,,,,14565.405,1118.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,344,"China, Hong Kong SAR",827600.717,119797.271,156,764,,,,,,,,,827599.77,0.947,,,,,,,,,156,,,,,,,,,,119797.271,,,,,,,,,
2017,348,Hungary,1165897.06,630756.427,703,040,804,642,191,688,100,203,705,,428111.391,217777.835,193538.431,147439.298,91629.685,62279.393,19152.32,3558.778,2409.929,,191,688,642,070,300,703,100,807,040,705,238119.622,175495.498,126089.493,19783.968,16723.251,14566.253,12636.004,9123.633,9023.257,7174.997
2017,352,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,360,Indonesia,66053.6,,458,036,702,,,,,,,,66052.417,0.964,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,364,Iran,60736.9,50705.908,051,,,,,,,,,,60736.9,,,,,,,,,,586,792,051,,,,,,,,33099.432,15168.681,2437.795,,,,,,,
2017,368,Iraq,520.645,,400,,,,,,,,,,520.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
